,X1,X2,X3,X4,X5
2017-01-09 15:00:00,-2270.213520575663,-4044.782994978458,-1041.2789182313365,-8864.51059051538,-6557.353387264432
2017-01-09 16:00:00,-2347.5896679079615,-4017.5998649397006,-1077.6913873592866,-9186.820572480723,-6596.915329314513
2017-01-09 17:00:00,-2631.825361263452,-4323.929176621159,-1188.036290212161,-9858.560573688172,-7023.294077420222
2017-01-09 18:00:00,-2781.2599300171014,-4678.236784458451,-1250.202728970593,-10302.5926422958,-7505.319359080312
2017-01-09 19:00:00,-2837.7293003244604,-4828.4844022570305,-1279.14303190407,-10589.586606032546,-7750.6703110410945
2017-01-09 20:00:00,-2605.1833364889444,-4677.281183439503,-1204.7880920131756,-10388.371851765607,-7646.3903790648255
2017-01-09 21:00:00,-2724.1683742769137,-4689.121311196978,-1256.0717459383561,-10780.968149601242,-7731.2125574790025
2017-01-09 22:00:00,-1536.6093568666806,-3617.420953000455,-840.3912996967143,-8966.532076315934,-6559.31499300484
2017-01-09 23:00:00,-810.2514051721297,-2918.315420328396,-589.5459692638816,-7931.1632511500175,-5819.563046903564
2017-01-10 00:00:00,-343.4277137917146,-2640.459880409371,-431.4592272979794,-7334.2033044671825,-5568.388306219933
2017-01-10 01:00:00,-200.0,-1942.9531852227103,-246.7584839981547,-6611.456466569291,-4830.4907353446915
2017-01-10 02:00:00,-200.0,-1415.609630517345,-102.12431822676561,-6078.078005327533,-4289.953005589225
2017-01-10 03:00:00,-200.0,-1311.8981858621653,-20.40271680415473,-5842.045884025785,-4240.755325719178
2017-01-10 04:00:00,-200.0,-1116.1949360452286,-200.0,-5484.741452249216,-4084.863046773832
2017-01-10 05:00:00,-200.0,-944.7663679742705,-200.0,-5454.812476587778,-3957.125204324362
2017-01-10 06:00:00,-200.0,-1220.90386418473,-106.99252522835747,-6212.140093756829,-4348.486663212098
2017-01-10 07:00:00,-200.0,-1863.043822571954,-187.92407025811207,-7197.10486403323,-5146.575319052119
2017-01-10 08:00:00,-183.24114961357898,-2436.0401175555453,-363.3646695112162,-8326.721609352258,-5953.331367445615
2017-01-10 09:00:00,-856.7915945876025,-3090.563597760649,-674.0535223800323,-9494.719256670847,-6570.28615982173
2017-01-10 10:00:00,-856.6115619808534,-3233.682888549271,-673.9891780023,-9494.415143090158,-6736.279808101405
2017-01-10 11:00:00,-989.859807347759,-3184.936870715922,-712.8547139432641,-9527.894811680704,-6608.653174026883
2017-01-10 12:00:00,-921.9235449828332,-3237.1866851711798,-697.3319434079438,-9604.741052219646,-6740.343606775195
2017-01-10 13:00:00,-938.9520639792029,-3229.520553296126,-707.7969660195554,-9729.308422516988,-6766.9970564147225
2017-01-10 14:00:00,-639.6830454425104,-3262.852007636483,-613.973899457146,-9511.186716615885,-6912.290298273831
2017-01-10 15:00:00,-677.380026749526,-3318.7194666051496,-627.4469521911892,-9574.864981200315,-6977.086897552824
2017-01-10 16:00:00,-307.3484094133074,-3178.771494458837,-495.19616391105984,-8949.80243198886,-6814.771430938203
2017-01-10 17:00:00,-780.2317853807526,-3329.9225116253774,-666.9245604522681,-9808.067258467066,-7012.142807294396
2017-01-10 18:00:00,-984.7944441677314,-3909.601680576539,-743.6600455248972,-10232.902220634127,-7713.886900396092
2017-01-10 19:00:00,-1030.2685006256843,-3533.0138958555867,-763.5366242806547,-10389.002505375161,-7306.526556949354
2017-01-10 20:00:00,-1028.1440931142863,-3571.2368572475434,-766.4013205757093,-10464.698803447707,-7380.275005430547
